iter,drive,pl,grad_drive,grad_pl,approx_loss
1,3.0,0.5,0.05936200456114038,-0.5557739439272854,0.2722464093818444
2,2.997031899771943,0.5277886971963642,0.20549046936849114,-0.5943652516723874,0.2553295326859332
3,2.9867573763035185,0.5575069597799835,0.12103535489409345,-0.29752617148113086,0.2335900767428593
4,2.980705608558814,0.5723832683540401,0.14991323254703232,-0.4552967021495863,0.2208034290483194
5,2.9732099469314623,0.5951481034615194,0.2506139284794326,-0.5152363750240363,0.21563084161727802
6,2.9606792505074906,0.6209099222127212,0.2946888361364114,-0.4994395171066429,0.1956323215625339
7,2.94594480870067,0.6458818980680534,0.2919120672088604,-0.5099497153028911,0.18106804500245152
8,2.931349205340227,0.671379383833198,0.3524639550690589,-0.3323131886486186,0.16392659873711068
9,2.913726007586774,0.6879950432656289,0.26907296533462355,-0.4480515442643426,0.15453297454310871
10,2.900272359320043,0.710397620478846,0.19033698024074092,-0.45252939480982635,0.1419053794996985
11,2.8907555103080056,0.7330240902193373,0.10413079024875788,-0.2960398571181054,0.12916901035613848
12,2.8855489707955675,0.7478260830752426,0.07800591963995601,-0.32359158489705386,0.12616529978529262
13,2.8816486748135697,0.7640056623200953,0.022002336534595324,-0.3170400083260842,0.11830796399647564
14,2.88054855798684,0.7798576627363994,0.007382238461426799,-0.24655704227891304,0.1166847919066267
15,2.8801794460637686,0.792185514850345,-0.029968969800397288,-0.3028179444237941,0.11204111122055004
16,2.8816778945537886,0.8073264120715348,0.008575233922823167,-0.23773758828564043,0.10705703170298209
17,2.8812491328576475,0.8192132914858168,0.018011829060390894,-0.22190501889239392,0.10452586659627326
18,2.880348541404628,0.8303085424304365,0.0007308556378028686,-0.19453398303928768,0.10298894718279611
19,2.8803119986227377,0.8400352415824008,-0.0006857861042076918,-0.1801113647460681,0.10207880760410461
20,2.880346287927948,0.8490408098197042,-0.021501945323254695,-0.19016078938209516,0.10133823926961649
21,2.881421385194111,0.8585488492888089,-0.03021516110752867,-0.1423631965482383,0.09693370476867383
22,2.882932143249487,0.8656670091162209,-0.0020517687431295673,-0.14944059255462258,0.09566670997077449
23,2.8830347316866436,0.8731390387439519,0.008121712875709258,-0.14949451675815406,0.09541736185940124
24,2.8826286460428583,0.8806137645818597,-0.0022868775139452124,-0.14953225263510422,0.09492795291115286
25,2.8827429899185555,0.888090377213615,-0.013401967000957332,-0.11075399139751085,0.09367033108703932
26,2.8834130882686035,0.8936280767834905,-0.0059682796879857725,-0.09360444107897534,0.09318978731744687
27,2.8837115022530027,0.8983082988374393,-0.003044820883063848,-0.0778824738524811,0.09277630910859144
28,2.8838637432971557,0.9022024225300634,-0.001838800705845911,-0.06485406671622895,0.09237783497014349
29,2.883955683332448,0.9054451258658749,-0.0012240053305095921,-0.06473061419556753,0.09237739668637387
30,2.8840168835989735,0.9086816565756533,-0.011038576063862604,-0.05187333521843987,0.09180424875188793
31,2.8845688124021667,0.9112753233365752,0.007905749458091832,-0.05195610664458575,0.09144845467322679
32,2.884173524929262,0.9138731286688045,0.006925598188903259,-0.05193759989312957,0.09137550682897091
33,2.8838272450198166,0.9164700086634611,-0.01633251124489435,-0.050302653632158384,0.09084281934575718
34,2.884643870582061,0.918985141345069,-0.006916015025463934,-0.05042599380459298,0.09078440040770819
35,2.8849896713333343,0.9215064410352987,-0.0032610133476804193,-0.04290356321135114,0.0909532295307687
36,2.8851527220007185,0.9236516191958662,-0.00045278543516144576,-0.03696746156750724,0.09106112860518042
37,2.8851753612724766,0.9254999922742416,-0.0005213218066724146,-0.004512599432771186,0.09024812468581277
38,2.8852014273628104,0.9257256222458802,-0.0002392132131574798,-0.036995382535235516,0.09105923805835794
39,2.8852133880234683,0.927575391372642,-0.0004975267455245569,-0.037022737077940515,0.09105824706978922
40,2.8852382643607446,0.929426528226539,-0.0004468366189461226,-0.0370379510698339,0.09105897214112492
41,2.885260606191692,0.9312784257800307,-0.0005540300595748004,-0.03706730969060476,0.09105614464191178
42,2.8852883076946707,0.9331317912645609,-0.0008016262727542078,-0.03709158335462648,0.09105957658082055
43,2.8853283890083086,0.9349863704322923,-0.004883220012617401,-0.03712139367994763,0.09095487173049632
44,2.8855725500089395,0.9368424401162897,-0.002416562351845869,-0.03716830929574366,0.09093854798045117
45,2.8856933781265317,0.9387008555810769,-0.0013254147325111876,-0.03720475728510572,0.09093346673477705
46,2.885759648863157,0.9405610934453321,-0.0009641784294663058,-0.03723882984783475,0.09092919421899076
47,2.8858078577846307,0.9424230349377238,-0.005116257182946338,-0.02581278359114203,0.09061149383234182
48,2.886063670643778,0.9437136741172809,-0.002428536308731466,-0.008454896891871982,0.09053320318001903
49,2.8861850974592143,0.9441364189618745,-0.0010679912737088237,-0.008477018932556979,0.09052627398741117
50,2.8862384970229,0.9445602699085024,-0.0005824610360603832,-0.008481517020987456,0.09052351168825029
